question,answer
"以下哪些是Linux操作系统的特点？（）
A. 广泛性
B. 低廉性
C. 灵活性
D. 健壮性",ABC
"当字符串用单引号（’’）括起来时，SHELL将（）。
A.解释引号内的特殊字符
B.执行引号中的命令
C.不解释引号内的特殊字符
D.结束进程",C
"以下描述正确的是？ （）
A. 批处理系统出现早于分时系统
B. Linux就是批处理系统
C. 批处理系统可以同时执行多个任务
D. Windows是批处理操作系统",A
"以下哪个是移动操作系统？ （）
A. Linux
B. Android
C. WindowsXP
D. Windows2003",B
"Linux最早发布于哪一年？ （）
A. 1990
B. 1991
C. 1992
D. 1993",B
"第一个企业版的Linux是哪一个？ （）
A. CentOS
B. Ubuntu
C. Debian
D. RedHat",D
"以下哪个不是内核的组成部分？ （）
A. 系统调用接口
B. 进程管理
C. C语言编译器
D. 驱动程序",C
"Linux下常用文本编辑工具是？ （）
A. Notepad
B. EditPlus
C. DreamWeaver
D. VIM",D
"Linux的终端软件英文名称是什么？ （）
A. background
B. terminal
C. console
D. cmd",B
"下载安装软件的命令是什么？ （）
A. apt-get install
B. vim-version
C. sudo
D. setup",A
"修改密码的命令是？ （）
A. change
B. passwd
C. password
D. update",B
"进入某一文件夹的命令是？ （）
A. ls
B. cd
C. ll
D. help",B
"列表显示所有文件的命令是？ （）
A. ls
B. cd
C. pwd
D. echo",A
"打印信息的命令是？ （）
A. ls
B. pwd
C. ll
D. echo",D
"列表显示文件详细信息的命令是？ （）
A. ls
B. cd
C. ll
D. help",C
"查找帮助的命令是？ （）
A. cd
B. pwd
C. echo
D. help",D
"查看系统当前运行所有程序的命令是？ （）
A. top
B. show
C. ls
D. list",A
"系统配置文件一般放在哪个目录下？ （）
A. dev
B. usr
C. etc
D. tmp",C
"增加用户的命令是？ （）
A. adduser
B. insertuser
C. appenduser
D. deluser",A
"以下哪些描述是手机root后会产生的？ （）
A. 获取最高用户权限
B. 增加系统风险
C. 可以任意安装软件
D. 可以提升网络连接速度",ABC
"vi应该在哪个模式下来输入文件内容？ （）
A. 输入工作模式
B. 编辑工作模式
C. 命令工作模式
D. 操作工作模式",B
"从命令模式切换到编辑模式应该使用哪个命令？ （）
A. a
B. i
C. o
D. u",B
"在命令模式移动光标可以使用哪些键？ （）
A. k
B. l
C. a
D. 上箭头",AB
